,ASMT,ASMTWithDa,Acres,LandUse1,TRA,floor,Notes,Shape_STAr,Shape_STLe,geometry
145,001183016000,001-183-016-000,0.15,11,002014,0,0011831600 CONVERTED    12/01/87,6537.06125,360.80155536,"POLYGON Z ((6477627.359999999 1874614.1599999964 0, 6477613.099999994 1874610.9399999976 0, 6477500.590000004 1874585.5600000024 0, 6477489.209999993 1874634.6400000006 0, 6477616.510000005 1874663.0100000054 0, 6477627.359999999 1874614.1599999964 0))"
146,001191006000,001-191-006-000,0.19,11,002014,0,0011910600 CONVERTED    12/01/87,8203.62955,390.368464637,"POLYGON Z ((6477885.609999999 1874968.5799999982 0, 6477755.209999993 1874938.1099999994 0, 6477741.379999995 1874998.2699999958 0, 6477872.030000001 1875027.8199999928 0, 6477885.609999999 1874968.5799999982 0))"
147,001191007000,001-191-007-000,0.19,11,002014,0,0011910700 CONVERTED    12/01/87,7472.52715,379.389186806,"POLYGON Z ((6477872.030000001 1875027.8199999928 0, 6477741.379999995 1874998.2699999958 0, 6477729.359999999 1875052 0, 6477859.519999996 1875083 0, 6477872.030000001 1875027.8199999928 0))"
148,001193010000,001-193-010-000,0.2,2133,002000,0,0011931000 CONVERTED    12/01/87,7987.45153711,389.674098955,"POLYGON Z ((6478451.703125 1875177.3974999934 0, 6478320.260625005 1875143.8506249934 0, 6478306.388750002 1875202.1831250042 0, 6478439.435625002 1875233.4568749964 0, 6478451.703125 1875177.3974999934 0))"
149,001200025000,001-200-025-000,2.36,41,002000,0,0012002500 CONVERTED    12/01/87,101866.520437,1429.05640109,"POLYGON Z ((6474546.519999996 1878011.6400000006 0, 6474550.241474586 1878009.6379758806 0, 6474554.229686063 1878008.240963741 0, 6474558.386994722 1878007.4831653417 0, 6474562.611621009 1878007.3831331625 0, 6474566.8001372935 1878007.943316199 0, 6474570.849999994 1878009.150000006 0, 6474584.719999999 1877951.3199999928 0, 6474597.709999993 1877892.8900000006 0, 6474611.400000006 1877832.450000003 0, 6474624.379999995 1877772.3299999982 0, 6474637.689999998 1877714.0300000012 0, 6474649.950000003 1877659.2399999946 0, 6474180.920000002 1877919.150000006 0, 6474263.299999997 1878058.049999997 0, 6474275.035795049 1878052.4490878102 0, 6474287.546720043 1878048.902842104 0, 6474300.475980093 1878047.5123970741 0, 6474313.454849954 1878048.3174063573 0, 6474326.113189575 1878051.2949121632 0, 6474338.090000004 1878056.3599999994 0, 6474345.925521885 1878062.995573046 0, 6474352.531657231 1878070.8559298192 0, 6474357.719702657 1878079.7165402647 0, 6474361.34146233 1878089.3243022144 0, 6474363.293481164 1878099.4047712157 0, 6474363.519999996 1878109.6700000018 0, 6474546.519999996 1878011.6400000006 0))"
150,001241007000,001-241-007-000,0.14,111E,002000,0,,6057.44925,320.955266341,"POLYGON Z ((6476277.959999993 1878282.8599999994 0, 6476180.670000002 1878261.5199999958 0, 6476167.269999996 1878320.5100000054 0, 6476264.75 1878342.3700000048 0, 6476277.959999993 1878282.8599999994 0))"
151,001241009000,001-241-009-000,0.18,111,002000,0,0012410900 CONVERTED    12/01/87,7804.913975,371.963846402,"POLYGON Z ((6476301.099999994 1878213.9200000018 0, 6476307.340000004 1878201.0199999958 0, 6476310.424586275 1878194.6895673464 0, 6476314.159999996 1878188.7199999988 0, 6476321.909999996 1878177.6400000006 0, 6476215.459999993 1878106.3599999994 0, 6476197.120000005 1878187.4300000072 0, 6476295.099999994 1878226.0100000054 0, 6476301.099999994 1878213.9200000018 0))"
152,001241022000,001-241-022-000,0.13,111,002000,0,0012412200 CONVERTED    12/01/87,5468.83758438,306.696976012,"POLYGON Z ((6476734.459999993 1877826.0600000024 0, 6476742.859999999 1877789.9800000042 0, 6476647.120000005 1877766.3799999952 0, 6476636.129999995 1877818.799999997 0, 6476728.370000005 1877846.3599999994 0, 6476731.892906388 1877836.3533719175 0, 6476734.459999993 1877826.0600000024 0))"
153,001241025000,001-241-025-000,0.62,51,002000,0,0012412500 CONVERTED    12/01/87,26995.9559,659.988568939,"POLYGON Z ((6476113.780000001 1878555.1599999964 0, 6476126.859999999 1878497.4399999976 0, 6476140.239999995 1878438.400000006 0, 6476142.969999999 1878425.5799999982 0, 6475967.340000004 1878386.3100000024 0, 6475956.810000002 1878433.0400000066 0, 6475934.799999997 1878532.5900000036 0, 6476110.310000002 1878572.2199999988 0, 6476113.780000001 1878555.1599999964 0))"
154,001241032000,001-241-032-000,2.65,51,002000,0,CFAP12/21/77 AT OWNERS REQ,117005.710132,1647.04913441,"POLYGON Z ((6476153.519999996 1878380.2900000066 0, 6476167.269999996 1878320.5100000054 0, 6476180.670000002 1878261.5199999958 0, 6476197.120000005 1878187.4300000072 0, 6476215.459999993 1878106.3599999994 0, 6476237.260000005 1878010.5400000066 0, 6476251.263750002 1877953.9449999928 0, 6476287.239999995 1877804.9300000072 0, 6476287.911249995 1877802.1887499988 0, 6476105.966875002 1877761.0068749934 0, 6476105.200000003 1877763.8100000024 0, 6476079.760000005 1877876.3599999994 0, 6476063.840000004 1877948.349999994 0, 6476044.010000005 1878040.5900000036 0, 6476022.959999993 1878132.4800000042 0, 6476002.359999999 1878226.1700000018 0, 6475978.980000004 1878330.9699999988 0, 6475967.340000004 1878386.3100000024 0, 6476142.969999999 1878425.5799999982 0, 6476153.519999996 1878380.2900000066 0))"
155,001242016000,001-242-016-000,0.15,111,002000,0,0012421600 CONVERTED    12/01/87,6732.13721797,340.88975632,"POLYGON Z ((6476806.629999995 1878036.75 0, 6476840.710624993 1878030.7493750006 0, 6476828.480000004 1877920.8900000006 0, 6476807.712660158 1877924.0906592445 0, 6476787.43915348 1877929.6143854216 0, 6476767.918474412 1877937.390612823 0, 6476749.400000006 1877947.3199999928 0, 6476801.822500005 1878039.6087500006 0, 6476806.629999995 1878036.75 0))"
156,001251004000,001-251-004-000,0.15,111,002000,0,0012510400 CONVERTED    12/01/87,6442.09379023,328.940396503,"POLYGON Z ((6476038.920000002 1879318.4300000072 0, 6476041.703852008 1879314.9767575865 0, 6476043.908877729 1879311.1280465329 0, 6476045.480000004 1879306.9800000042 0, 6476049.719999999 1879286.8400000036 0, 6475952.739999995 1879265.7699999958 0, 6475935.349999994 1879339.099999994 0, 6476026.980000004 1879343.6700000018 0, 6476027.61491206 1879337.9648360778 0, 6476029.181137162 1879332.4422508453 0, 6476031.635865598 1879327.253193414 0, 6476034.912002148 1879322.539496561 0, 6476038.920000002 1879318.4300000072 0))"
157,001251024000,001-251-024-000,2.09,51,002000,0,0012512400 CONVERTED    12/01/87,92089.4013,1285.02710204,"POLYGON Z ((6475965.810000002 1879207.0600000024 0, 6475978.700000003 1879149.1099999994 0, 6475991.840000004 1879090.099999994 0, 6476004.870000005 1879031.5600000024 0, 6476017.879999995 1878973.0699999928 0, 6476031.019999996 1878914.0699999928 0, 6476043.609999999 1878855.7199999988 0, 6476054.069999993 1878810.4699999988 0, 6475882.079999998 1878773.150000006 0, 6475854.230000004 1878767.1099999994 0, 6475842.879999995 1878825.5400000066 0, 6475824.700000003 1878822.2600000054 0, 6475745.670000002 1879173.6400000006 0, 6475962.780000001 1879220.6700000018 0, 6475965.810000002 1879207.0600000024 0))"
158,001252001000,001-252-001-000,0.14,11,002000,0,,5939.3520832,310.837392508,"POLYGON Z ((6476212.280000001 1879289.5799999982 0, 6476213.310000002 1879284.7900000066 0, 6476116.870000005 1879265.5400000066 0, 6476108.049999997 1879305.700000003 0, 6476107.64363351 1879308.80997926 0, 6476107.7435032055 1879311.9448047327 0, 6476108.347001022 1879315.0226115955 0, 6476109.438366834 1879317.9630240435 0, 6476110.989100021 1879320.6892542762 0, 6476112.958703752 1879323.1301077842 0, 6476115.29574254 1879325.2218425667 0, 6476117.93918547 1879326.9098337323 0, 6476120.819999993 1879328.150000006 0, 6476200.030000001 1879345.4300000072 0, 6476212.280000001 1879289.5799999982 0))"
159,001262007000,001-262-007-000,0.14,111E,002000,0,0012620700 CONVERTED    12/01/87,5637.62094082,314.005407086,"POLYGON Z ((6476685.706249997 1878429.603125006 0, 6476685.356250003 1878429.368750006 0, 6476597.915000007 1878372.5043749958 0, 6476588.006380179 1878387.3278703466 0, 6476579.686039728 1878403.0977370576 0, 6476573.043439194 1878419.6444170703 0, 6476568.150000006 1878436.7900000066 0, 6476577.501874998 1878439.2081249952 0, 6476664.468125001 1878461.7081249952 0, 6476685.706249997 1878429.603125006 0))"
160,001262008000,001-262-008-000,0.14,111,002000,0,0012620800 CONVERTED    12/01/87,6002.60176797,321.762415564,"POLYGON Z ((6476701.420000002 1878405.799999997 0, 6476711.65625 1878399.2493750006 0, 6476653.786249995 1878319.5643749982 0, 6476651.239374995 1878319.396874994 0, 6476636.9184440235 1878329.6015861235 0, 6476623.719359707 1878341.2209392176 0, 6476611.781262516 1878354.1324468208 0, 6476601.230000004 1878368.200000003 0, 6476597.915000007 1878372.5043749958 0, 6476685.356250003 1878429.368750006 0, 6476701.420000002 1878405.799999997 0))"
161,001272004000,001-272-004-000,0.14,111,002000,0,0012720400 CONVERTED    12/01/87,6167.682,324.01084508,"POLYGON Z ((6476350.859999999 1879130.650000006 0, 6476252.680000007 1879109.2399999946 0, 6476238.620000005 1879169 0, 6476337.560000002 1879190.1400000006 0, 6476350.859999999 1879130.650000006 0))"
162,001272006000,001-272-006-000,0.14,111,002000,0,0012720600 CONVERTED    12/01/87,6057.03675,321.383310839,"POLYGON Z ((6476377.450000003 1879014.7699999958 0, 6476279.969999999 1878993.1800000072 0, 6476266.25 1879051.5199999958 0, 6476364.420000002 1879074.2099999934 0, 6476377.450000003 1879014.7699999958 0))"
163,001282011000,001-282-011-000,0.11,11,002000,0,0012821100 CONVERTED    12/01/87,4763.3642,290.60471506,"POLYGON Z ((6479325.480000004 1874875.6599999964 0, 6479276.790000007 1874864.5300000012 0, 6479256.640000001 1874957.799999997 0, 6479305.409999996 1874968.7699999958 0, 6479325.480000004 1874875.6599999964 0))"
164,001283013000,001-283-013-000,0.27,11,002000,0,0012831300 CONVERTED    12/01/87,11700.98445,470.939390657,"POLYGON Z ((6479803.030000001 1875309.3900000006 0, 6479803.069999993 1875306.1299999952 0, 6479651.090000004 1875270.6099999994 0, 6479641.549999997 1875317.2600000054 0, 6479636.549999997 1875341.950000003 0, 6479643.280000001 1875343.4399999976 0, 6479701.780000001 1875356.4200000018 0, 6479759.659999996 1875369.25 0, 6479802.060000002 1875378.650000006 0, 6479803.030000001 1875309.3900000006 0))"
165,001301015000,001-301-015-000,0.19,51,002000,0,,8368.9388,388.63455229,"POLYGON Z ((6475832.75 1878406.1700000018 0, 6475705.450000003 1878379.2800000012 0, 6475693.230000004 1878434.0799999982 0, 6475691.349999994 1878442.5100000054 0, 6475818.299999997 1878468.650000006 0, 6475832.75 1878406.1700000018 0))"
166,001301033000,001-301-033-000,0.64,51,002000,0,,27812.6061,705.126948817,"POLYGON Z ((6475818.299999997 1878468.650000006 0, 6475691.349999994 1878442.5100000054 0, 6475679.129999995 1878493.6299999952 0, 6475646.450000003 1878634.7800000012 0, 6475638.010000005 1878640.1400000006 0, 6475629.790000007 1878646.0400000066 0, 6475770.510000005 1878677.0900000036 0, 6475818.299999997 1878468.650000006 0))"
167,001302002000,001-302-002-000,0.16,111,002000,0,0013020200 CONVERTED    12/01/87,7002.96785,354.350600756,"POLYGON Z ((6475507.900000006 1878327.3900000006 0, 6475448.010000005 1878313.5600000024 0, 6475425.329999998 1878429.150000006 0, 6475481.549999997 1878441.849999994 0, 6475507.900000006 1878327.3900000006 0))"
168,001303006000,001-303-006-000,0.14,111,002000,0,0013030600 CONVERTED    12/01/87,6249.67425,329.293679927,"POLYGON Z ((6475334.180000007 1878001.4800000042 0, 6475275.760000005 1877988.9099999964 0, 6475253.230000004 1878091.2399999946 0, 6475310.659999996 1878104.6200000048 0, 6475334.180000007 1878001.4800000042 0))"
169,001303022000,001-303-022-000,0.14,111,002000,0,0013032200 CONVERTED    12/01/87,6313.62365,329.955719952,"POLYGON Z ((6474867.569999993 1877893.7699999958 0, 6474765.049999997 1877871.9099999964 0, 6474751.900000006 1877930.1400000006 0, 6474853.769999996 1877953.1800000072 0, 6474867.569999993 1877893.7699999958 0))"
